epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.061,1.33612,2.14595,1.88756,0.90727,0.91325,0.91254,0.50637,1.20539,0.71136,2.36649,0.0901,0.0001,0.0001
2,33.9715,0.81785,0.53646,1.42684,0.49382,0.75448,0.54613,0.358,0.81852,1.14011,1.496,0.07921,0.000209977,0.000209977
3,39.2169,0.83778,0.52409,1.44993,0.68678,0.88,0.79705,0.286,1.33414,1.74424,2.58407,0.0683199,0.000319861,0.000319861
4,44.6452,0.79457,0.5092,1.36705,0.84372,0.93579,0.91855,0.60475,0.70256,1.23891,1.32323,0.0574296,0.00042958,0.00042958
5,50.012,0.82984,0.52984,1.39757,0.83615,0.95261,0.89541,0.66999,0.64739,0.9925,1.24678,0.0465391,0.000539063,0.000539063
6,55.3524,0.6875,0.42927,1.27899,0.81296,0.81135,0.86534,0.65606,0.59163,0.99754,1.05049,0.0356482,0.000648237,0.000648237
7,60.5154,0.7756,0.48268,1.36635,0.75921,0.85333,0.84648,0.57879,0.74505,0.95681,1.34685,0.024757,0.000757034,0.000757034
8,65.6721,0.85899,0.54379,1.47227,0.81599,0.94601,0.9416,0.68472,0.77243,1.05081,1.3443,0.0138654,0.00086538,0.00086538
9,70.9319,0.74014,0.46511,1.32868,0.50832,0.53333,0.53466,0.24752,1.2473,2.23448,2.20073,0.00297321,0.000973207,0.000973207
10,76.109,0.71257,0.45529,1.28604,0.92377,0.90667,0.95355,0.54765,1.05571,0.89571,2.02367,0.000991232,0.000991232,0.000991232
11,81.2045,0.76652,0.48613,1.33665,0.50696,0.96,0.5606,0.34376,0.88152,1.13451,1.43905,0.000989183,0.000989183,0.000989183
12,86.5003,0.75716,0.50592,1.34072,0.30528,0.44,0.31038,0.16787,1.05641,2.04957,1.44327,0.000986922,0.000986922,0.000986922
13,91.6763,0.74576,0.46784,1.32379,0.5713,0.76,0.64249,0.25328,1.44956,1.99808,2.09036,0.000984449,0.000984449,0.000984449
14,96.8871,0.75585,0.44063,1.34489,0.3897,0.66408,0.46009,0.18174,1.22579,2.8736,1.66735,0.000981765,0.000981765,0.000981765
15,102.026,0.73659,0.5025,1.3293,0.83385,1,0.95946,0.62785,0.83543,0.89326,1.35591,0.000978873,0.000978873,0.000978873
16,107.333,0.63684,0.40068,1.23426,0.57474,0.92,0.72359,0.34362,1.20526,1.12614,1.692,0.000975773,0.000975773,0.000975773
17,112.572,0.68741,0.41668,1.28415,0.76616,0.90667,0.85336,0.54115,0.84239,0.81858,1.21273,0.000972466,0.000972466,0.000972466
18,117.879,0.69341,0.42453,1.28888,0.85673,0.95678,0.96211,0.74442,0.62777,0.71856,1.05804,0.000968955,0.000968955,0.000968955
19,123.246,0.68087,0.43101,1.28188,0.9489,0.99048,0.99119,0.76842,0.62278,0.46143,1.09266,0.000965239,0.000965239,0.000965239
20,128.585,0.70224,0.44764,1.29749,0.9739,0.99523,0.98741,0.78409,0.62354,0.40339,1.04046,0.000961322,0.000961322,0.000961322
21,133.984,0.6887,0.44513,1.29191,0.98583,1,0.995,0.80197,0.54214,0.36899,0.96463,0.000957205,0.000957205,0.000957205
22,139.347,0.68811,0.45054,1.27413,0.66577,0.87648,0.82092,0.43339,0.88269,1.24677,1.18647,0.000952889,0.000952889,0.000952889
23,144.736,0.65642,0.43158,1.24098,0.99983,0.98667,0.9911,0.8331,0.49232,0.43292,0.83545,0.000948377,0.000948377,0.000948377
24,150.098,0.65758,0.41421,1.27677,0.61431,0.88,0.66834,0.23499,1.37749,1.36231,1.886,0.000943671,0.000943671,0.000943671
25,155.16,0.62476,0.41629,1.25161,0.88338,0.97333,0.95989,0.64578,0.67377,0.62342,1.12198,0.000938772,0.000938772,0.000938772
26,160.283,0.65636,0.4341,1.27757,0.76631,0.91817,0.87351,0.55675,0.72382,0.5874,1.09575,0.000933683,0.000933683,0.000933683
27,165.606,0.64574,0.40023,1.23363,0.98622,0.98667,0.99161,0.85329,0.45447,0.34363,0.8149,0.000928405,0.000928405,0.000928405
28,170.96,0.64621,0.39422,1.26891,0.86066,0.98825,0.98421,0.78388,0.65125,0.70405,1.04586,0.000922942,0.000922942,0.000922942
29,176.136,0.6599,0.40515,1.24911,0.76326,0.98667,0.95752,0.76542,0.54993,0.84454,0.90623,0.000917296,0.000917296,0.000917296
30,181.344,0.63166,0.39491,1.26164,0.97684,1,0.99434,0.85108,0.45729,0.39395,0.77103,0.000911469,0.000911469,0.000911469
31,186.591,0.57686,0.38079,1.20372,0.96528,0.97333,0.98846,0.84242,0.46592,0.31879,0.8094,0.000905463,0.000905463,0.000905463
32,191.966,0.5987,0.372,1.20735,0.94734,1,0.99236,0.87418,0.39839,0.28522,0.7364,0.000899282,0.000899282,0.000899282
33,197.217,0.63073,0.38752,1.2392,0.9095,0.88,0.95959,0.8125,0.46999,0.38032,0.79417,0.000892928,0.000892928,0.000892928
34,202.544,0.57547,0.37104,1.18955,0.98217,1,0.995,0.85877,0.43927,0.3624,0.73935,0.000886404,0.000886404,0.000886404
35,207.766,0.56431,0.34774,1.17897,0.88667,0.82667,0.91836,0.76159,0.54776,0.5499,0.8647,0.000879713,0.000879713,0.000879713
36,213.136,0.56191,0.34481,1.18848,0.98643,0.96928,0.98708,0.78112,0.60034,0.52753,0.89166,0.000872857,0.000872857,0.000872857
37,218.347,0.59285,0.3643,1.20142,0.9307,0.97333,0.99249,0.77232,0.61754,0.68506,0.99583,0.000865839,0.000865839,0.000865839
38,223.633,0.58806,0.36735,1.22305,0.99459,1,0.995,0.84123,0.47935,0.2908,0.81224,0.000858664,0.000858664,0.000858664
39,228.876,0.58494,0.35399,1.2338,0.94793,0.97333,0.99126,0.83359,0.52406,0.29733,0.91542,0.000851333,0.000851333,0.000851333
40,234.329,0.52813,0.33104,1.15501,1,0.99894,0.995,0.82549,0.51937,0.3033,0.83462,0.000843851,0.000843851,0.000843851
41,239.442,0.57999,0.35009,1.1878,0.9839,1,0.99474,0.85525,0.4988,0.32985,0.82639,0.00083622,0.00083622,0.00083622
42,244.712,0.58109,0.36193,1.19801,0.99485,1,0.995,0.85895,0.50734,0.27712,0.83862,0.000828443,0.000828443,0.000828443
43,249.997,0.57254,0.36506,1.21033,0.99871,1,0.995,0.80863,0.63992,0.29201,0.9806,0.000820525,0.000820525,0.000820525
44,255.38,0.57415,0.36735,1.19529,0.9965,1,0.995,0.81568,0.57311,0.32134,0.90719,0.000812468,0.000812468,0.000812468
45,260.498,0.53788,0.34072,1.16097,0.98465,1,0.99487,0.81928,0.50456,0.29581,0.84547,0.000804277,0.000804277,0.000804277
46,265.925,0.52574,0.33856,1.16104,0.97204,1,0.99026,0.86135,0.4154,0.33158,0.75845,0.000795954,0.000795954,0.000795954
47,271.011,0.54987,0.3554,1.18381,0.99569,1,0.995,0.82557,0.56151,0.44347,0.94094,0.000787503,0.000787503,0.000787503
48,276.236,0.54366,0.33452,1.14773,0.84712,0.98667,0.97988,0.86476,0.36419,0.39761,0.68413,0.000778929,0.000778929,0.000778929
49,281.407,0.57604,0.33899,1.1974,0.97395,0.99719,0.99075,0.82431,0.55235,0.368,0.88338,0.000770234,0.000770234,0.000770234
50,286.709,0.55684,0.33948,1.17024,0.98251,0.96,0.98988,0.86248,0.39652,0.37984,0.73283,0.000761423,0.000761423,0.000761423
51,291.802,0.53456,0.31778,1.1436,0.92522,0.98667,0.97741,0.75151,0.60854,0.49534,0.94105,0.0007525,0.0007525,0.0007525
52,297.053,0.54431,0.34523,1.17197,0.96143,0.98667,0.98953,0.82489,0.5014,0.40474,0.85076,0.000743468,0.000743468,0.000743468
53,302.262,0.51557,0.33621,1.15494,0.95924,0.98667,0.99219,0.86497,0.40767,0.37381,0.74312,0.000734332,0.000734332,0.000734332
54,307.621,0.54517,0.35055,1.1631,0.98398,0.98667,0.99204,0.86874,0.42328,0.28636,0.73992,0.000725094,0.000725094,0.000725094
