epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.062,4.69896,9.39112,0.70868,9.76096,3.84892,0,0,0,0,0,0,0,0,5.61839,10.5346,0.68583,6.89197,4.36672,0.09505,5e-05,5e-05
2,32.1053,4.52618,9.28461,0.7087,9.36587,3.73067,0.00155,0.02703,0.0008,8e-05,0,0,0,0,3.59458,10.1885,0.57226,4.81637,3.04563,0.08911,0.000109973,0.000109973
3,37.3925,2.37581,7.01698,0.55886,2.68974,2.1858,0.69106,0.45349,0.5085,0.13029,0.00147,0.01351,0.00032,3e-05,2.60027,7.44311,0.36922,2.06455,1.87472,0.0831698,0.000169834,0.000169834
4,42.288,1.6595,3.84581,0.52537,1.1451,1.30484,0.88688,0.84762,0.93556,0.39931,0.32159,0.32033,0.15117,0.0229,2.12802,5.37968,0.26218,1.61527,1.51464,0.0772295,0.000229495,0.000229495
5,47.3182,1.34579,2.06475,0.44626,0.9564,1.17008,0.94672,0.9604,0.98748,0.50541,0.86724,0.88278,0.86126,0.25357,1.62014,3.6265,0.19714,1.42115,1.34763,0.0712889,0.000288868,0.000288868
6,52.2366,1.27274,1.31375,0.45355,0.85293,1.11722,0.98033,0.91892,0.97807,0.50375,0.98033,0.91892,0.97807,0.3774,1.68664,2.8668,0.16657,1.0501,1.27772,0.0653479,0.000347867,0.000347867
7,57.0998,1.33448,1.00404,0.46892,0.83513,1.13592,0.94492,1,0.96972,0.5918,0.94492,1,0.96972,0.58509,1.3504,2.4523,0.16334,0.79555,1.12677,0.0594064,0.000406405,0.000406405
8,62.004,1.20554,0.85269,0.45546,0.76132,1.12948,0.93977,0.98649,0.99103,0.64572,0.93977,0.98649,0.99103,0.70455,1.17634,1.79346,0.1539,0.93496,1.01679,0.0534644,0.000464397,0.000464397
9,66.8931,1.1641,0.62807,0.39581,0.72729,1.07263,0.96581,0.98649,0.99231,0.66577,0.96581,0.98649,0.99231,0.84404,1.19222,1.09358,0.14948,1.32342,1.04825,0.0475218,0.000521758,0.000521758
10,71.8763,1.22523,0.68945,0.48043,0.76039,1.10186,0.95813,1,0.99366,0.64944,0.95813,1,0.99366,0.92702,1.22125,0.7835,0.14809,1.33757,1.06841,0.0415784,0.000578404,0.000578404
11,76.9969,1.13095,0.46663,0.41652,0.68253,1.065,0.97366,1,0.995,0.64468,0.97366,1,0.995,0.91218,1.26856,0.74305,0.15317,2.04435,1.05527,0.0356343,0.000634252,0.000634252
12,81.8748,1.16,0.43212,0.45104,0.67652,1.05284,0.99087,0.98649,0.99474,0.61094,0.99087,0.98649,0.99474,0.94382,1.34295,0.63612,0.16409,1.34106,1.03387,0.0296892,0.000689223,0.000689223
13,86.7384,1.11645,0.52814,0.43256,0.68948,1.03115,0.98056,0.97297,0.99397,0.50829,0.98056,0.97297,0.99397,0.93059,1.75254,0.57202,0.15809,1.24838,1.14355,0.0237432,0.000743234,0.000743234
14,91.8398,1.15102,0.45387,0.47846,0.70229,1.0359,0.97361,0.99704,0.9942,0.58813,0.97361,0.99704,0.9942,0.93573,1.37936,0.46694,0.1621,0.92083,1.09212,0.0177962,0.000796209,0.000796209
15,96.7636,1.15335,0.44769,0.40951,0.69437,1.01171,0.95102,1,0.97063,0.40067,0.95102,1,0.9778,0.86028,1.69553,0.66187,0.1606,1.08407,1.14264,0.0118481,0.000848072,0.000848072
16,101.637,1.26125,0.35675,0.41243,0.73448,1.04135,0.99616,1,0.995,0.54915,0.99616,1,0.995,0.97588,1.4427,0.34337,0.15573,0.85737,1.04101,0.00589875,0.000898746,0.000898746
17,106.66,1.16217,0.37759,0.42216,0.65812,1.03589,0.99544,1,0.995,0.53907,0.99544,1,0.995,0.97692,1.58006,0.42571,0.15735,0.87568,1.07085,0.000938772,0.000938772,0.000938772
18,111.746,1.14704,0.42227,0.39279,0.71668,1.03167,0.98186,1,0.98513,0.50998,0.98186,1,0.98513,0.91104,1.65754,0.43432,0.15233,2.21348,1.18551,0.000931067,0.000931067,0.000931067
19,116.76,1.13741,0.33633,0.41334,0.71934,1.03446,0.98775,1,0.995,0.483,0.98775,1,0.995,0.93309,1.74715,0.4928,0.15142,2.45869,1.12895,0.000922942,0.000922942,0.000922942
20,121.564,1.10614,0.36027,0.39666,0.72497,1.02,0.98335,0.98649,0.99369,0.49809,0.98335,0.98649,0.99369,0.95514,1.64414,0.59943,0.14289,1.35542,1.09057,0.000914405,0.000914405,0.000914405
21,126.496,1.0587,0.31442,0.37656,0.6771,1.00134,0.97716,1,0.99487,0.66903,0.97716,1,0.99487,0.95836,1.19715,0.43844,0.13999,0.82817,0.97975,0.000905463,0.000905463,0.000905463
22,131.74,1.11636,0.37717,0.32595,0.74655,1.01976,0.94806,0.97297,0.99319,0.59341,0.94806,0.97297,0.99319,0.93476,1.30932,0.40431,0.12317,1.85309,1.00405,0.000896127,0.000896127,0.000896127
