epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6107,4.38827,8.84447,0.70933,8.79205,3.83095,0,0,0,0,0,0,0,0,5.64181,10.5337,0.68579,6.88345,4.38283,0.09505,5e-05,5e-05
2,34.9992,4.32954,8.79915,0.70652,8.75621,3.72557,0.00055,0.02703,0.00029,3e-05,0,0,0,0,3.88248,10.263,0.57676,4.46154,3.32049,0.08911,0.000109988,0.000109988
3,41.0186,2.60738,6.64661,0.53102,2.96463,2.50543,0.18283,0.12162,0.07501,0.01557,0.01795,0.01351,0.00118,0.00013,2.9773,8.8318,0.35903,2.72276,2.98253,0.0831699,0.000169926,0.000169926
4,46.3924,2.03047,3.73372,0.51973,1.49845,1.7638,0.53107,0.43243,0.40859,0.09063,0.65073,0.22669,0.22509,0.04287,3.11583,5.31684,0.27697,1.74517,2.1221,0.0772298,0.000229775,0.000229775
5,51.6399,1.70335,2.24822,0.50741,1.18064,1.35312,0.81421,0.75676,0.82585,0.19356,0.85888,0.7973,0.87844,0.32096,2.54721,3.84327,0.2057,1.34601,1.82422,0.0712895,0.000289497,0.000289497
6,56.8191,1.4935,1.47225,0.4611,1.03979,1.29106,0.83855,0.84229,0.89748,0.244,0.86518,0.86724,0.93787,0.5642,2.3437,2.73917,0.16867,1.58778,1.50832,0.0653491,0.000349051,0.000349051
7,62.1995,1.35484,1.22895,0.49412,0.96845,1.21291,0.74047,0.75676,0.74647,0.1864,0.81503,0.83367,0.90454,0.62458,2.58834,2.28071,0.1691,2.81776,1.76107,0.0594084,0.0004084,0.0004084
8,67.5987,1.39961,0.87496,0.47681,0.89724,1.24258,0.79404,0.98992,0.90306,0.31077,0.79404,0.98992,0.90306,0.69836,2.00836,1.56977,0.1623,4.50548,1.36538,0.0534675,0.000467504,0.000467504
9,73.0926,1.31821,0.65794,0.40923,0.89926,1.18574,0.33323,0.86486,0.32304,0.10907,0.34487,0.91058,0.34758,0.23431,2.10513,1.95744,0.17138,2.69145,1.3842,0.0475263,0.000526326,0.000526326
10,78.8537,1.31144,0.7456,0.47229,0.92773,1.18195,0.03262,0.12162,0.007,0.00159,0.06704,0.21622,0.04231,0.01973,3.2886,3.07733,0.22872,3.94157,2.30449,0.0415848,0.000584827,0.000584827
11,84.5811,1.19956,0.4564,0.42373,0.81327,1.14652,0.9713,0.9147,0.96317,0.39823,0.9713,0.9147,0.97142,0.73625,1.90779,1.37825,0.15372,1.58415,1.32378,0.035643,0.000642969,0.000642969
12,89.9568,1.24136,0.46336,0.43465,0.82169,1.14273,0.96759,1,0.99368,0.52265,0.96759,1,0.99368,0.8409,1.53665,0.93588,0.13632,2.10858,1.11331,0.0297007,0.000700714,0.000700714
13,95.4084,1.23005,0.52833,0.43789,0.86949,1.09647,0.93518,0.95946,0.98609,0.47253,0.93518,0.95946,0.98609,0.90211,1.79661,0.57885,0.14917,2.28135,1.2052,0.023758,0.000758025,0.000758025
14,100.891,1.24952,0.54581,0.48358,0.88907,1.13384,0.81662,0.96285,0.90961,0.4672,0.81662,0.96285,0.90961,0.84375,1.63175,0.58485,0.14948,2.26626,1.20692,0.0178149,0.000814865,0.000814865
15,106.253,1.19956,0.45562,0.40691,0.83727,1.06774,0.96023,0.97882,0.98936,0.56826,0.96023,0.97882,0.98936,0.87543,1.43766,0.62939,0.15198,1.048,1.08452,0.0118712,0.000871197,0.000871197
16,111.697,1.1942,0.43603,0.48575,0.8526,1.1042,0.94112,1,0.9908,0.64451,0.94112,1,0.9908,0.98895,1.21276,0.38207,0.16464,1.72396,1.01915,0.00592698,0.000926984,0.000926984
17,117.427,1.24183,0.31304,0.44603,0.81314,1.10992,0.94665,0.98649,0.99025,0.5573,0.94665,0.98649,0.99025,0.92156,1.40113,0.50908,0.16097,2.6099,1.0896,0.000972466,0.000972466,0.000972466
18,122.964,1.21385,0.38915,0.42111,0.85244,1.10899,0.97132,0.91541,0.98748,0.44843,0.97132,0.91541,0.98848,0.96011,1.70244,0.39957,0.16999,1.90412,1.20137,0.000968955,0.000968955,0.000968955
19,128.639,1.29403,0.37884,0.40095,0.90148,1.16053,0.9863,0.97263,0.97841,0.44314,1,0.98594,0.99402,0.81135,1.69096,0.54608,0.17124,2.00525,1.30422,0.000965239,0.000965239,0.000965239
20,133.978,1.28584,0.47891,0.39759,0.9275,1.1343,0.96578,0.97297,0.99368,0.49787,0.96578,0.97297,0.99368,0.87567,1.54303,0.54528,0.14902,1.44512,1.14277,0.000961322,0.000961322,0.000961322
21,139.361,1.25247,0.41832,0.41338,0.89163,1.1228,1,0.9968,0.995,0.57033,1,0.9968,0.995,0.91399,1.25109,0.54843,0.1477,1.41138,1.0592,0.000957205,0.000957205,0.000957205
22,144.554,1.20099,0.48612,0.37944,0.87983,1.1062,0.99384,1,0.995,0.43948,0.99384,1,0.995,0.89017,1.7264,0.73018,0.13151,2.09531,1.13281,0.000952889,0.000952889,0.000952889
23,149.855,1.0758,0.28482,0.39566,0.77979,1.08805,0.99749,1,0.995,0.51884,0.99749,1,0.995,0.97576,1.54083,0.67875,0.13763,1.20465,1.0831,0.000948377,0.000948377,0.000948377
24,155.355,1.15006,0.32872,0.37692,0.83466,1.06993,0.98211,0.98649,0.99433,0.44149,0.98211,0.98649,0.99433,0.96174,1.82639,0.77658,0.13096,0.93868,1.099,0.000943671,0.000943671,0.000943671
25,160.783,1.1744,0.32546,0.36735,0.80197,1.06383,0.98691,1,0.995,0.63742,0.98691,1,0.995,0.91882,1.31882,0.74708,0.14627,1.16093,1.06174,0.000938772,0.000938772,0.000938772
26,166.388,1.18253,0.26501,0.37218,0.78958,1.10242,0.9864,0.98038,0.99411,0.4981,0.9864,0.98038,0.99411,0.9063,1.71342,0.66932,0.11267,2.09827,1.10761,0.000933683,0.000933683,0.000933683
27,171.991,1.1865,0.31386,0.28073,0.76885,1.0608,0.95287,0.90541,0.96496,0.55672,0.95287,0.90541,0.9494,0.7209,1.47505,1.71252,0.12378,1.66833,1.29634,0.000928405,0.000928405,0.000928405
28,177.658,1.12887,0.32384,0.3401,0.76568,1.05891,0.86291,0.89189,0.92486,0.39669,0.85257,0.78378,0.88317,0.4816,2.12022,2.25321,0.14489,1.62775,2.13707,0.000922942,0.000922942,0.000922942
29,183.399,1.20334,0.32412,0.31205,0.85692,1.08299,0.97669,0.95946,0.99106,0.64381,0.97669,0.95946,0.99106,0.95732,1.13956,0.38564,0.11165,0.91575,0.96354,0.000917296,0.000917296,0.000917296
30,189.31,1.13548,0.26709,0.29426,0.79127,1.09531,0.9147,0.94595,0.94969,0.44368,0.9284,0.95946,0.96884,0.91171,1.61859,0.45018,0.12246,1.3727,1.08307,0.000911469,0.000911469,0.000911469
31,194.892,1.13218,0.24489,0.30975,0.81007,1.0869,0.98278,0.98649,0.99315,0.69571,0.98278,0.98649,0.99315,0.96462,1.06242,0.38307,0.113,0.77902,0.94215,0.000905463,0.000905463,0.000905463
