epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4167,4.42938,14.5293,0.71044,8.65504,3.7956,0,0,0,0,0,0,0,0,5.66513,17.6599,0.686,7.21246,4.4712,0.09703,3e-05,3e-05
2,33.5924,4.31045,14.5922,0.71515,8.52691,3.72127,0,0,0,0,0,0,0,0,5.6578,17.7265,0.68508,7.262,4.45718,0.0930695,6.9538e-05,6.9538e-05
3,38.3167,4.28267,14.1932,0.69595,8.32832,3.72544,0.00258,0.22973,0.00162,0.00048,0,0,0,0,3.12268,16.8344,0.58138,4.12566,2.69623,0.0891085,0.000108548,0.000108548
4,43.4327,2.62137,11.363,0.56833,3.18427,2.38328,0.24107,0.41892,0.1867,0.03558,0.00162,0.2973,0.00121,0.00021,2.57439,14.0282,0.43001,3.40021,2.24953,0.085147,0.00014703,0.00014703
5,48.3552,1.97215,7.43081,0.52253,1.90514,1.69986,0.89411,0.7973,0.9177,0.42531,0.03084,0.05405,0.00493,0.00101,1.9748,10.7152,0.32527,1.20637,1.52693,0.081185,0.000184984,0.000184984
6,53.1296,1.68953,4.48195,0.53201,1.2831,1.37594,0.87745,0.83784,0.93809,0.47092,0.27372,0.31081,0.13161,0.02187,1.73425,8.57033,0.25428,1.10465,1.57096,0.0772224,0.00022241,0.00022241
7,57.9075,1.49198,3.49361,0.47845,1.11617,1.29081,0.95065,0.83784,0.96104,0.43765,0.8423,0.79402,0.81479,0.17803,1.77645,6.91187,0.20377,1.26637,1.50721,0.0732593,0.000259308,0.000259308
8,62.6121,1.45075,2.90683,0.49289,1.0564,1.26753,0.86731,0.95946,0.96737,0.38748,0.87117,0.94595,0.95658,0.40457,1.89991,5.53735,0.17312,2.69177,1.43551,0.0692957,0.000295678,0.000295678
9,67.3917,1.32778,1.80843,0.4579,0.91497,1.24971,0.9164,0.89189,0.86415,0.23766,0.9973,0.97297,0.99265,0.53029,2.40273,4.87909,0.1625,2.95525,1.59128,0.0653315,0.00033152,0.00033152
10,72.1693,1.38805,1.57248,0.47949,0.93194,1.21571,0.60261,1,0.99097,0.5271,0.60261,1,0.99097,0.50438,1.50991,4.44411,0.1643,7.36933,1.30728,0.0613668,0.000366834,0.000366834
11,76.9511,1.34757,1.38093,0.46739,0.97973,1.23032,0.57136,1,0.99321,0.40747,0.57136,1,0.99321,0.77414,1.68952,3.12203,0.15421,11.2013,1.2791,0.0574016,0.00040162,0.00040162
12,81.7248,1.33661,1.44015,0.48667,0.9365,1.1913,0.95241,1,0.99201,0.42411,0.95241,1,0.99201,0.71853,1.71242,2.72829,0.15458,4.93907,1.26941,0.0534359,0.000435878,0.000435878
13,86.3493,1.27895,1.01908,0.45032,0.87066,1.1612,0.93767,0.95946,0.97976,0.52942,0.93767,0.95946,0.97976,0.81456,1.42897,2.00526,0.15534,2.13637,1.13085,0.0494696,0.000469608,0.000469608
14,91.0822,1.29057,1.0232,0.5206,0.89634,1.18733,0.89149,0.97297,0.98146,0.45201,0.89149,0.97297,0.98146,0.9294,1.82245,1.45236,0.1634,2.18988,1.21115,0.0455028,0.00050281,0.00050281
15,95.8033,1.28609,0.84495,0.42693,0.88102,1.14919,0.88192,0.97297,0.97009,0.45463,0.88192,0.97297,0.97009,0.7875,1.82373,1.70951,0.17535,2.2815,1.2893,0.0415355,0.000535484,0.000535484
16,100.514,1.28299,0.95356,0.50506,0.90544,1.17849,0.9235,0.97887,0.97839,0.57294,0.9235,0.97887,0.97839,0.8751,1.31038,1.31447,0.18022,1.3831,1.10233,0.0375676,0.00056763,0.00056763
17,105.264,1.24123,0.83633,0.50559,0.91062,1.18053,1,0.98267,0.99414,0.41338,1,0.98267,0.99414,0.96061,1.64276,1.17735,0.18512,1.65884,1.12514,0.0335992,0.000599248,0.000599248
18,110.028,1.16912,0.74785,0.43551,0.85599,1.10651,0.99716,1,0.995,0.47482,0.99716,1,0.995,0.95102,1.57985,0.96997,0.18605,1.00642,1.08958,0.0296303,0.000630338,0.000630338
19,114.727,1.26231,0.73458,0.47558,0.84228,1.16016,0.99378,1,0.995,0.51271,0.99378,1,0.995,0.93501,1.3993,1.03177,0.1768,1.14711,1.1463,0.0256609,0.0006609,0.0006609
20,119.546,1.25956,0.75054,0.45615,0.84191,1.15504,0.97228,1,0.9946,0.50912,0.97228,1,0.9946,0.92981,1.37277,1.09588,0.17494,2.07967,1.09937,0.0216909,0.000690934,0.000690934
21,124.363,1.1611,0.60958,0.46547,0.81794,1.11885,0.98103,0.98649,0.9946,0.52801,0.98103,0.98649,0.9946,0.94544,1.40475,0.92495,0.1761,2.04507,1.09518,0.0177204,0.00072044,0.00072044
22,129.35,1.19504,0.61876,0.46205,0.85716,1.11015,0.98556,0.98649,0.99437,0.59311,0.98556,0.98649,0.99437,0.90757,1.2639,0.99581,0.17742,2.07047,1.014,0.0137494,0.000749418,0.000749418
23,134.303,1.20157,0.57214,0.42305,0.84089,1.16493,0.99917,0.98649,0.99461,0.55135,0.99917,0.98649,0.99461,0.8279,1.52057,1.21544,0.17543,2.39946,1.16623,0.00977787,0.000777868,0.000777868
24,139.255,1.20231,0.67024,0.48731,0.83544,1.11945,0.97249,1,0.99474,0.63568,0.97249,1,0.99474,0.87191,1.33819,1.19105,0.16774,1.92426,1.07895,0.00580579,0.00080579,0.00080579
25,144.152,1.2072,0.68941,0.41402,0.80286,1.09029,0.97232,1,0.99289,0.72568,0.97232,1,0.99289,0.93141,1.05412,0.76008,0.16367,1.00332,0.95889,0.00183318,0.000833184,0.000833184
26,149.082,1.16498,0.53734,0.44521,0.79005,1.09572,0.98511,1,0.99433,0.61004,0.98511,1,0.99433,0.96042,1.29569,0.66942,0.15599,0.92923,0.99911,0.000835,0.000835,0.000835
27,153.918,1.09024,0.51199,0.4028,0.80377,1.09629,0.9983,1,0.995,0.63212,0.9983,1,0.995,0.92809,1.20001,0.82148,0.16014,0.7893,1.00903,0.0008284,0.0008284,0.0008284
28,158.741,1.13257,0.49718,0.43833,0.76685,1.13366,0.96848,0.97297,0.99017,0.64114,0.96848,0.97297,0.99017,0.94135,1.15773,0.60185,0.15297,1.00751,0.97689,0.0008218,0.0008218,0.0008218
29,163.561,1.19925,0.5146,0.41621,0.84765,1.11365,1,0.95845,0.99411,0.63527,1,0.95845,0.99411,0.98747,1.17727,0.32046,0.15778,1.13511,1.00251,0.0008152,0.0008152,0.0008152
30,168.34,1.08055,0.5121,0.39115,0.82531,1.07269,0.99509,0.98649,0.99474,0.53427,0.99509,0.98649,0.99474,0.97601,1.46887,0.58602,0.15032,1.14109,1.04085,0.0008086,0.0008086,0.0008086
31,173.051,1.0991,0.47032,0.43053,0.77763,1.08777,0.91944,0.97297,0.97877,0.65416,0.91944,0.97297,0.97877,0.97533,1.03733,0.5863,0.14735,1.05572,0.96058,0.000802,0.000802,0.000802
32,177.841,1.11553,0.37637,0.40065,0.83737,1.07877,0.98992,0.94595,0.99316,0.593,0.98992,0.94595,0.99316,0.85459,1.31198,1.03536,0.14807,1.60876,1.04,0.0007954,0.0007954,0.0007954
33,182.618,1.12646,0.48373,0.42367,0.82148,1.07938,1,0.99477,0.995,0.58647,1,0.99477,0.995,0.95928,1.36033,0.74988,0.15772,1.06669,1.0332,0.0007888,0.0007888,0.0007888
34,187.372,1.14036,0.42035,0.38483,0.78818,1.11859,0.99737,1,0.995,0.61786,0.99737,1,0.995,0.93562,1.31575,0.57437,0.15134,0.72635,1.02361,0.0007822,0.0007822,0.0007822
35,192.112,1.10054,0.54535,0.40575,0.82477,1.05137,1,0.99306,0.995,0.7332,1,0.99306,0.995,0.99081,0.92963,0.36226,0.1416,1.02173,0.90345,0.0007756,0.0007756,0.0007756
36,196.949,1.07488,0.38442,0.41642,0.77911,1.0362,0.96866,0.98649,0.99461,0.6025,0.96866,0.98649,0.99461,0.98848,1.22666,0.37104,0.15183,1.02902,0.93832,0.000769,0.000769,0.000769
37,201.787,1.06728,0.38157,0.40821,0.79595,1.0442,0.99803,1,0.995,0.58427,0.99803,1,0.995,0.99243,1.25528,0.26544,0.15426,0.94136,0.96507,0.0007624,0.0007624,0.0007624
38,206.632,1.12749,0.37655,0.38277,0.81975,1.07005,0.96063,0.98913,0.99407,0.73443,0.96063,0.98913,0.99407,0.97437,0.96951,0.53165,0.1494,0.8695,0.94999,0.0007558,0.0007558,0.0007558
39,211.472,1.16913,0.5378,0.38348,0.82128,1.07335,0.99226,0.98649,0.99487,0.62406,0.99226,0.98649,0.99487,0.93792,1.22452,0.58921,0.15063,0.92858,0.98506,0.0007492,0.0007492,0.0007492
40,216.31,1.11452,0.3939,0.38787,0.81202,1.07559,0.98649,0.98654,0.99487,0.75793,0.98649,0.98654,0.99487,0.98678,0.87884,0.47901,0.14134,0.83057,0.90387,0.0007426,0.0007426,0.0007426
41,221.287,1.11303,0.36618,0.31798,0.78125,1.05616,0.98175,0.98649,0.99407,0.62225,0.98175,0.98649,0.99407,0.98456,1.22782,0.46843,0.14761,0.96173,0.9823,0.000736,0.000736,0.000736
