epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.03453,1.46515,4.93321,1.96551,0.8786,0.92,0.89887,0.44839,1.52105,5.73276,2.91737,0.0901,0.0001,0.0001
2,16.2787,0.85608,0.86696,1.46212,0.51124,0.50667,0.48572,0.30115,1.16498,7.21698,1.82709,0.07921,0.000209977,0.000209977
3,23.2424,0.82326,0.55729,1.41091,0.83821,0.89806,0.89785,0.58747,1.10266,1.08312,2.10377,0.0683199,0.000319861,0.000319861
4,30.3337,0.76672,0.48569,1.35727,0.9841,1,0.995,0.73603,0.91077,0.56755,2.15512,0.0574296,0.00042958,0.00042958
5,37.2404,0.75588,0.48128,1.3399,0.99559,1,0.995,0.74557,0.76696,0.50889,1.33121,0.0465391,0.000539063,0.000539063
6,44.1008,0.74431,0.46436,1.32423,1,0.98419,0.99462,0.70473,0.98651,0.63307,2.12475,0.0356482,0.000648237,0.000648237
7,50.9426,0.70742,0.44645,1.30533,0.89658,0.92473,0.93026,0.55864,1.44741,1.41892,2.8608,0.024757,0.000757034,0.000757034
8,57.7772,0.71347,0.46149,1.2981,0.99203,1,0.995,0.81196,0.71306,0.54347,1.26103,0.0138654,0.00086538,0.00086538
9,64.6083,0.72982,0.45727,1.30829,0.67677,0.90667,0.87689,0.51706,1.57753,2.54801,2.3412,0.00297321,0.000973207,0.000973207
10,71.4376,0.7573,0.48805,1.34068,0.49837,0.82667,0.5981,0.28817,1.56226,3.19083,2.30509,0.000991232,0.000991232,0.000991232
11,78.3253,0.73384,0.4685,1.32449,0.60129,0.81333,0.7159,0.44664,1.0894,1.64533,1.65186,0.000989183,0.000989183,0.000989183
12,85.1353,0.75503,0.46462,1.34499,0.87109,0.99113,0.97387,0.7089,0.78145,0.70234,1.33681,0.000986922,0.000986922,0.000986922
13,91.9938,0.75747,0.46255,1.32752,0.71761,0.81318,0.80034,0.4074,1.11303,1.53191,1.7349,0.000984449,0.000984449,0.000984449
14,98.8951,0.70533,0.45367,1.32615,0.40392,0.50667,0.40402,0.14342,2.23635,2.51867,2.92145,0.000981765,0.000981765,0.000981765
15,105.776,0.71013,0.46416,1.29651,0.27507,0.10667,0.12334,0.0485,2.67329,4.22305,2.84537,0.000978873,0.000978873,0.000978873
16,112.631,0.68535,0.45059,1.27598,0.7561,0.70667,0.74149,0.32688,1.60886,1.79604,2.68187,0.000975773,0.000975773,0.000975773
17,119.569,0.68098,0.42998,1.27571,0.67205,0.72,0.71584,0.40557,1.54131,1.43524,2.10076,0.000972466,0.000972466,0.000972466
18,126.536,0.66147,0.41874,1.26887,0.59327,0.38667,0.40281,0.16968,2.12434,1.625,2.70937,0.000968955,0.000968955,0.000968955
19,133.422,0.68151,0.42782,1.25292,0.87962,0.77947,0.88789,0.57445,0.99683,0.86822,1.49715,0.000965239,0.000965239,0.000965239
