epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.6271,1.46595,4.93149,1.96629,0.90719,0.93333,0.90352,0.46917,1.62434,4.64662,3.2315,0.0901,0.0001,0.0001
2,17.9867,0.85147,0.86079,1.46998,0.76064,0.72031,0.80902,0.41724,1.51905,8.98267,2.76227,0.07921,0.000209977,0.000209977
3,26.1653,0.83067,0.54131,1.40482,0.47251,0.6,0.4968,0.28578,1.49757,1.72555,2.69888,0.0683199,0.000319861,0.000319861
4,34.2036,0.80393,0.49584,1.39153,0.12853,0.21333,0.10413,0.03736,2.83201,2.37873,3.33563,0.0574296,0.00042958,0.00042958
5,42.1936,0.74193,0.48489,1.33116,0.72088,0.86094,0.83959,0.51544,1.13854,1.08514,1.83513,0.0465391,0.000539063,0.000539063
6,50.2331,0.77695,0.47447,1.35089,0.95458,1,0.99292,0.79859,0.76549,0.54857,1.46355,0.0356482,0.000648237,0.000648237
7,58.2173,0.70404,0.46075,1.32386,0.30331,0.36,0.2213,0.08629,2.48334,2.95568,2.77681,0.024757,0.000757034,0.000757034
8,66.2234,0.75386,0.48539,1.33242,0.43249,0.54667,0.40352,0.15296,1.92361,1.87104,3.19883,0.0138654,0.00086538,0.00086538
9,74.1156,0.7667,0.48449,1.3392,0.59641,0.59114,0.60937,0.19758,2.03397,2.76204,2.56256,0.00297321,0.000973207,0.000973207
10,82.1028,0.73744,0.47013,1.33241,0.44299,0.86667,0.59323,0.25456,1.65246,2.27531,2.67127,0.000991232,0.000991232,0.000991232
11,90.0082,0.73621,0.47358,1.31695,0.62949,0.74667,0.73114,0.40534,1.19397,1.44547,1.95641,0.000989183,0.000989183,0.000989183
12,98.0144,0.76344,0.47208,1.34023,0.5361,0.84,0.6487,0.3135,1.42581,2.28949,2.51782,0.000986922,0.000986922,0.000986922
13,105.937,0.75633,0.47425,1.33951,0.37162,0.6,0.3572,0.11373,1.85707,3.53575,2.83174,0.000984449,0.000984449,0.000984449
14,113.929,0.71759,0.47484,1.33947,0.6088,0.78667,0.72736,0.37788,1.44996,1.56176,2.31822,0.000981765,0.000981765,0.000981765
